数据趋势概况(2026.03.07-2026.04.05),,,,数据趋势概况(2026.03.07-2026.04.05),,,,,,数据来源概况(2026.03.07-2026.04.05),,,,
日期,渠道,阅读人数,,日期,分享人数,跳转阅读原文人数,微信收藏人数,发表篇数,,传播渠道,发表日期,内容标题,阅读人数,阅读人数占比
2026-03-23,公众号主页,16,,,,,,,,其他,20260324,具身智能情报前沿｜2026.03.24,1,0.0625
2026-03-23,其他,0,,,,,,,,聊天会话,20260325,具身智能情报前沿｜2026.03.25,1,0.018182
2026-03-23,推荐,0,,,,,,,,其他,20260325,具身智能情报前沿｜2026.03.25,1,0.0625
2026-03-23,搜一搜,17,,,,,,,,其他,20260326,具身智能情报前沿｜2026.03.26,1,0.0625
2026-03-23,全部,44,,,,,,,,聊天会话,20260330,具身智能情报前沿｜2026.03.30,1,0.018182
2026-03-24,公众号消息,11,,,,,,,,其他,20260401,具身智能情报前沿｜2026.04.01,1,0.0625
2026-03-24,聊天会话,1,,,,,,,,其他,20260402,具身智能情报前沿｜2026.04.02,1,0.0625
2026-03-24,朋友圈,0,,,,,,,,其他,20260405,具身智能情报前沿｜2026.04.05,1,0.0625
2026-03-24,公众号主页,16,,,,,,,,,,,,
2026-03-24,其他,0,,,,,,,,,,,,
2026-03-24,推荐,88,,,,,,,,,,,,
2026-03-24,搜一搜,12,,,,,,,,,,,,
2026-03-24,全部,123,,,,,,,,,,,,
2026-03-25,公众号消息,12,,,,,,,,,,,,
2026-03-25,聊天会话,4,,,,,,,,,,,,
2026-03-25,朋友圈,6,,,,,,,,,,,,
2026-03-25,公众号主页,27,,,,,,,,,,,,
2026-03-25,其他,1,,,,,,,,,,,,
2026-03-25,推荐,77,,,,,,,,,,,,
2026-03-25,搜一搜,29,,,,,,,,,,,,
2026-03-25,全部,148,,,,,,,,,,,,
2026-03-26,公众号消息,14,,,,,,,,,,,,
2026-03-26,聊天会话,1,,,,,,,,,,,,
2026-03-26,朋友圈,0,,,,,,,,,,,,
2026-03-26,公众号主页,10,,,,,,,,,,,,
2026-03-26,其他,1,,,,,,,,,,,,
2026-03-26,推荐,37,,,,,,,,,,,,
2026-03-26,搜一搜,20,,,,,,,,,,,,
2026-03-26,全部,80,,,,,,,,,,,,
2026-03-27,公众号消息,9,,,,,,,,,,,,
2026-03-27,聊天会话,0,,,,,,,,,,,,
2026-03-27,朋友圈,0,,,,,,,,,,,,
2026-03-27,公众号主页,14,,,,,,,,,,,,
2026-03-27,其他,0,,,,,,,,,,,,
2026-03-27,推荐,54,,,,,,,,,,,,
2026-03-27,搜一搜,17,,,,,,,,,,,,
2026-03-27,全部,94,,,,,,,,,,,,
2026-03-28,公众号消息,9,,,,,,,,,,,,
2026-03-28,聊天会话,0,,,,,,,,,,,,
2026-03-28,朋友圈,0,,,,,,,,,,,,
2026-03-28,公众号主页,2,,,,,,,,,,,,
2026-03-28,其他,0,,,,,,,,,,,,
2026-03-28,推荐,59,,,,,,,,,,,,
2026-03-28,搜一搜,8,,,,,,,,,,,,
2026-03-28,全部,76,,,,,,,,,,,,
2026-03-29,公众号消息,9,,,,,,,,,,,,
2026-03-29,聊天会话,2,,,,,,,,,,,,
2026-03-29,朋友圈,0,,,,,,,,,,,,
2026-03-29,公众号主页,9,,,,,,,,,,,,
2026-03-29,其他,0,,,,,,,,,,,,
2026-03-29,推荐,63,,,,,,,,,,,,
2026-03-29,搜一搜,8,,,,,,,,,,,,
2026-03-29,全部,88,,,,,,,,,,,,
2026-03-30,公众号消息,6,,,,,,,,,,,,
2026-03-30,聊天会话,1,,,,,,,,,,,,
2026-03-30,朋友圈,0,,,,,,,,,,,,
2026-03-30,公众号主页,6,,,,,,,,,,,,
2026-03-30,其他,0,,,,,,,,,,,,
2026-03-30,推荐,66,,,,,,,,,,,,
2026-03-30,搜一搜,14,,,,,,,,,,,,
2026-03-30,全部,90,,,,,,,,,,,,
2026-03-31,公众号消息,13,,,,,,,,,,,,
2026-03-31,聊天会话,2,,,,,,,,,,,,
2026-03-31,朋友圈,29,,,,,,,,,,,,
2026-03-31,公众号主页,5,,,,,,,,,,,,
2026-03-31,其他,1,,,,,,,,,,,,
2026-03-31,推荐,78,,,,,,,,,,,,
2026-03-31,搜一搜,21,,,,,,,,,,,,
2026-03-31,全部,144,,,,,,,,,,,,
2026-04-01,公众号消息,11,,,,,,,,,,,,
2026-04-01,聊天会话,1,,,,,,,,,,,,
2026-04-01,朋友圈,2,,,,,,,,,,,,
2026-04-01,公众号主页,15,,,,,,,,,,,,
2026-04-01,其他,1,,,,,,,,,,,,
2026-04-01,推荐,76,,,,,,,,,,,,
2026-04-01,搜一搜,21,,,,,,,,,,,,
2026-04-01,全部,123,,,,,,,,,,,,
2026-04-02,公众号消息,18,,,,,,,,,,,,
2026-04-02,聊天会话,0,,,,,,,,,,,,
2026-04-02,朋友圈,0,,,,,,,,,,,,
2026-04-02,公众号主页,8,,,,,,,,,,,,
2026-04-02,其他,0,,,,,,,,,,,,
2026-04-02,推荐,78,,,,,,,,,,,,
2026-04-02,搜一搜,11,,,,,,,,,,,,
2026-04-02,全部,113,,,,,,,,,,,,
2026-04-03,公众号消息,16,,,,,,,,,,,,
2026-04-03,聊天会话,2,,,,,,,,,,,,
2026-04-03,朋友圈,0,,,,,,,,,,,,
2026-04-03,公众号主页,6,,,,,,,,,,,,
2026-04-03,其他,3,,,,,,,,,,,,
2026-04-03,推荐,54,,,,,,,,,,,,
2026-04-03,搜一搜,13,,,,,,,,,,,,
2026-04-03,全部,91,,,,,,,,,,,,
2026-04-04,公众号消息,11,,,,,,,,,,,,
2026-04-04,聊天会话,1,,,,,,,,,,,,
2026-04-04,朋友圈,0,,,,,,,,,,,,
2026-04-04,公众号主页,4,,,,,,,,,,,,
2026-04-04,其他,0,,,,,,,,,,,,
2026-04-04,推荐,70,,,,,,,,,,,,
2026-04-04,搜一搜,8,,,,,,,,,,,,
2026-04-04,全部,91,,,,,,,,,,,,
2026-04-05,公众号消息,5,,,,,,,,,,,,
2026-04-05,聊天会话,0,,,,,,,,,,,,
2026-04-05,朋友圈,0,,,,,,,,,,,,
2026-04-05,公众号主页,5,,,,,,,,,,,,
2026-04-05,其他,1,,,,,,,,,,,,
2026-04-05,推荐,71,,,,,,,,,,,,
2026-04-05,搜一搜,12,,,,,,,,,,,,
2026-04-05,全部,92,,,,,,,,,,,,
